"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA","8396","12736"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA","497","497"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA","3233","5046"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","NA","370","3560"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","NA","2194","2652"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","OPEN","NA","12823","17772"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","OPEN (PwD)","NA","770","770"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","OBC-NCL","NA","4189","6718"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","OBC-NCL (PwD)","NA","632","632"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","SC","NA","3806","5830"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)","AI","ST","NA","3376","5505"
