"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","47745","58664"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","59267","59267"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7656","7839"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","16749","17907"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","19710","19710"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8390","10394"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9951","9951"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4470","4470"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","175514","498701"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","183196","477967"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","36831","37904"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","38848","38848"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","12372","13372"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","32778","40657"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","42632","42632"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","5196","5610"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","12899","14256"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","14738","14738"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","7140","7895"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9506","9506"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3101","3101"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","85647","133524"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","115558","115558"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","15696","22271"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","63783","77874"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","78076","99081"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","13268","15435"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","21428","21428"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","4833","7147"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","41356","46588"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","44488","44488"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","6259","6478"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","14494","14904"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","16730","16730"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8729","9012"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9753","9753"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4686","4686"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","93703","199638"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","149301","149301"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","29222","35288"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","71307","119601"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","90594","181352"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","12709","18025"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","14567","14567"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","5816","8012"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","HS","OPEN","Gender-Neutral","2891","8935"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","HS","EWS","Gender-Neutral","1595","1595"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","HS","SC","Gender-Neutral","2314","2803"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","HS","ST","Gender-Neutral","365","1609"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","OS","OPEN","Gender-Neutral","2076","3548"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","OS","EWS","Gender-Neutral","585","585"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","OS","SC","Gender-Neutral","429","675"
"Birla Institute of Technology, Mesra,  Ranchi","Architecture  (5 Years, Bachelor of Architecture)","OS","ST","Gender-Neutral","212","212"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","48461","60011"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","7583","7583"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","11290","16011"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","5654","40750"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","33215","44133"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","OS","EWS","Gender-Neutral","5680","5734"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","OS","SC","Gender-Neutral","7630","8376"
"Birla Institute of Technology, Mesra,  Ranchi","Bio Technology (4 Years, Bachelor of Technology)","OS","ST","Gender-Neutral","3459","3711"
"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","34489","44940"
"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","6506","6700"
"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","8997","10177"
"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","13487","21011"
"Birla Institute of Technology, Mesra,  Ranchi","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","25935","35803"
