"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","7819","10780"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","12135","14037"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","264","264"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1252","1427"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","2716","4239"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","7339","7794"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","124","124"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","1470","2766"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","2994","2994"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC (PwD)","Gender-Neutral","15","15"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","1261","1652"
"Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","2325","2325"
