"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","NA","17572","31969"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OBC-NCL","NA","15995","31705"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","SC","NA","2447","6524"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","ST","NA","9877","9877"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","NA","12173","22249"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OBC-NCL","NA","5353","8422"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","SC","NA","468","4850"
"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","ST","NA","1553","1553"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","HS","OPEN","NA","1015","2925"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","HS","OBC-NCL","NA","1212","1606"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","HS","SC","NA","217","254"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","HS","ST","NA","144","144"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","OS","OPEN","NA","2889","3854"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","OS","OBC-NCL","NA","1007","1419"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","OS","SC","NA","227","332"
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)","OS","ST","NA","303","303"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","NA","20565","36872"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN (PwD)","NA","221","221"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OBC-NCL","NA","9626","34655"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","SC","NA","2768","6152"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","ST","NA","4460","9434"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","NA","23233","34345"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN (PwD)","NA","535","535"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OBC-NCL","NA","8727","10900"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","SC","NA","2309","7242"
"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","ST","NA","765","3049"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","NA","2616","12434"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OBC-NCL","NA","3106","13232"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","SC","NA","794","1728"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","ST","NA","1346","4971"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","NA","9312","18989"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN (PwD)","NA","390","390"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OBC-NCL","NA","4169","6462"
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","SC","NA","2454","5182"
